x,z,between,and
523,3048,wall of tile 01AD21 (room 0x33),door 0x1d9eac (preset 0x005c)
532,3048,wall of tile 01AD21 (room 0x33),door 0x1d9eac (preset 0x005c)
523,2826,wall of tile 01E121 (room 0x33),door 0x1d9fac (preset 0x005d)
532,2826,wall of tile 01E121 (room 0x33),door 0x1d9fac (preset 0x005d)
801,3076,wall of tile 01E422 (room 0x33),door 0x1da8ac (preset 0x0068)
801,3085,wall of tile 004F20 (room 0x38),door 0x1da8ac (preset 0x0068)
1024,3076,wall of tile 016420 (room 0x33),door 0x1da9ac (preset 0x0069)
1024,3085,wall of tile 004E20 (room 0x38),door 0x1da9ac (preset 0x0069)
801,4769,wall of tile 006F20 (room 0x2f),door 0x1daaac (preset 0x006a)
1024,4769,wall of tile 007020 (room 0x2f),door 0x1dabac (preset 0x006b)
1024,4778,wall of tile 01EC20 (room 0x36),door 0x1dabac (preset 0x006b)
801,4778,wall of tile 020322 (room 0x36),door 0x1daaac (preset 0x006a)
523,4808,wall of tile 019022 (room 0x35),door 0x1da0ac (preset 0x005e)
532,4808,wall of tile 019022 (room 0x35),door 0x1da0ac (preset 0x005e)
523,5029,wall of tile 01E921 (room 0x35),door 0x1da1ac (preset 0x005f)
532,5029,wall of tile 01E921 (room 0x35),door 0x1da1ac (preset 0x005f)
-1087,4808,wall of tile 083412 (room 0x18),door 0x1da5ac (preset 0x0063)
-1096,4808,wall of tile 087711 (room 0x19),door 0x1da5ac (preset 0x0063)
-1374,4754,wall of tile 086A12 (room 0x1c),door 0x1d9dac (preset 0x005b)
-1374,4763,wall of tile 086A12 (room 0x1c),door 0x1d9dac (preset 0x005b)
-2201,4808,wall of tile 0A4A12 (room 0x1e),door 0x1da3ac (preset 0x0061)
-2210,4808,wall of tile 0A0812 (room 0x27),door 0x1da3ac (preset 0x0061)
-2296,2474,wall of tile 08ED11 (room 0x25),door 0x1da6ac (preset 0x0066)
-2296,2483,wall of tile 08ED11 (room 0x25),door 0x1da6ac (preset 0x0066)
-1151,4754,wall of tile 086A11 (room 0x1c),door 0x1d9cac (preset 0x005a)
-1151,4763,wall of tile 086A11 (room 0x1c),door 0x1d9cac (preset 0x005a)
-1624,2670,wall of tile 036719 (room 0x2b),generic 0x1d8fbc (preset 0x2732)
-1660,1307,wall of tile 06B611 (room 0x0c),door 0x1d93ac (preset 0x0051)
-1660,1316,wall of tile 06B611 (room 0x0c),door 0x1d93ac (preset 0x0051)
-1660,1600,wall of tile 06B611 (room 0x0c),door 0x1d95ac (preset 0x0053)
-1660,1609,wall of tile 06B611 (room 0x0c),door 0x1d95ac (preset 0x0053)
-1437,1307,wall of tile 009911 (room 0x0c),door 0x1d92ac (preset 0x0050)
-1437,1316,wall of tile 009911 (room 0x0c),door 0x1d92ac (preset 0x0050)
-1437,1600,wall of tile 009911 (room 0x0c),door 0x1d94ac (preset 0x0052)
-1437,1609,wall of tile 009911 (room 0x0c),door 0x1d94ac (preset 0x0052)
1303,2403,wall of tile 045108 (room 0x09),generic 0x1df914 (preset 0x275d)
989,2403,wall of tile 045108 (room 0x09),generic 0x1df994 (preset 0x275e)
1304,2403,wall of tile 045108 (room 0x09),generic 0x1df994 (preset 0x275e)
1617,2314,wall of tile 048109 (room 0x09),generic 0x1df914 (preset 0x275d)
523,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
523,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
532,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
532,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
532,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
532,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
523,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
523,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
532,4917,door 0x1da0ac (preset 0x005e),door 0x1da1ac (preset 0x005f)
-2210,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
-2210,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
-2210,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
-2201,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
-2210,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
-2201,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
-2201,4917,door 0x1da2ac (preset 0x0060),door 0x1da3ac (preset 0x0061)
39,-551,door 0x1db2dc (preset 0x0001),door 0x1db3dc (preset 0x0002)
39,-551,door 0x1db2dc (preset 0x0001),door 0x1db3dc (preset 0x0002)
46,-551,door 0x1db2dc (preset 0x0001),door 0x1db3dc (preset 0x0002)
46,-551,door 0x1db2dc (preset 0x0001),door 0x1db3dc (preset 0x0002)
-0,-536,door 0x1db3dc (preset 0x0002),door 0x1db6dc (preset 0x0005)
-0,-551,door 0x1db3dc (preset 0x0002),door 0x1db6dc (preset 0x0005)
-0,-551,door 0x1db3dc (preset 0x0002),door 0x1db6dc (preset 0x0005)
0,-551,door 0x1db3dc (preset 0x0002),door 0x1db6dc (preset 0x0005)
0,-536,door 0x1db3dc (preset 0x0002),door 0x1db6dc (preset 0x0005)
0,-536,door 0x1db3dc (preset 0x0002),door 0x1db6dc (preset 0x0005)
-39,-551,door 0x1db5dc (preset 0x0004),door 0x1db6dc (preset 0x0005)
-46,-551,door 0x1db5dc (preset 0x0004),door 0x1db6dc (preset 0x0005)
-775,4409,safe 0x1dc04c (preset 0x2759),door 0x1dc0cc (preset 0x004a)
-775,4539,safe 0x1dc04c (preset 0x2759),door 0x1dc0cc (preset 0x004a)
-775,4539,safe 0x1dc04c (preset 0x2759),door 0x1dc0cc (preset 0x004a)
-1374,3082,monitor 0x1de3d4 (preset 0x273a),generic 0x1de4d4 (preset 0x273b)
-1374,3173,monitor 0x1de3d4 (preset 0x273a),generic 0x1de4d4 (preset 0x273b)
-1439,3082,generic 0x1de4d4 (preset 0x273b),monitor 0x1de554 (preset 0x273c)
-1439,3173,generic 0x1de4d4 (preset 0x273b),monitor 0x1de554 (preset 0x273c)
858,478,monitor 0x1de754 (preset 0x273f),generic 0x1de854 (preset 0x2740)
949,478,monitor 0x1de754 (preset 0x273f),generic 0x1de854 (preset 0x2740)
858,415,generic 0x1de854 (preset 0x2740),monitor 0x1de8d4 (preset 0x2741)
949,415,generic 0x1de854 (preset 0x2740),monitor 0x1de8d4 (preset 0x2741)
