gap,name,status,width_cm,step_cm,walk_round_cm,x,z,room,between,and,objects_forming_gap,objects_in_the_way,pinches,key
29,,warp,45.079,173.01,none found,-3463,-6714,0x29,wall of tile 078818 (room 0x29),generic 0x1cb620 (preset 0x00af),0x1cb620,,4,078818.1 | 0x1cb620.1
30,,warp,6.717,173.69,536,-3581,-6951,0x29,generic 0x1cbde0 (preset 0x00a2),generic 0x1cbf60 (preset 0x00a5),0x1cbde0 0x1cbf60,,2,0x1cbde0.0 | 0x1cbf60.1
31,,warp,24.286,174.28,505,-4012,-6990,0x29,generic 0x1cbe60 (preset 0x00a3),generic 0x1cbfe0 (preset 0x00a6),0x1cbe60 0x1cbfe0,,4,0x1cbe60.1 | 0x1cbfe0.0
32,,warp,6.677,238.96,413,1349,-3765,0x3b,wall of tile 041320 (room 0x3b),generic 0x1c67b8 (preset 0x00b7),0x1c67b8,,2,041320.1 | 0x1c67b8.0
33,,warp if objects removed,59.857,4.20,0,-3837,-7439,0x2a,generic 0x1cb2a0 (preset 0x00a8),generic 0x1cb3a0 (preset 0x00aa),0x1cb2a0 0x1cb3a0,0x1cb320 0x1cb5a0 0x1cb820 0x1cb920,36,078218.0 | 0x1cb7a0.0
34,,warp if objects removed,58.168,22.83,none found,-1702,688,0x16,wall of tile 11F610 (room 0x16),generic 0x1c85d8 (preset 0x2727),0x1c85d8,0x1c84d8 0x1c8558,2,0x1c85d8.3 | 11F610.2
35,,warp if objects removed,45.941,43.68,none found,-3477,-6573,0x29,wall of tile 078818 (room 0x29),generic 0x1cb620 (preset 0x00af),0x1cb620,0x1ca4e8,6,0x1ca4e8.1 | 0x1cb620.2
36,,warp if objects removed,41.007,60.23,none found,-1914,-138,0x18,wall of tile 121E10 (room 0x18),generic 0x1c86d8 (preset 0x2733),0x1c86d8,0x1c8758 0x1c87d8,5,0x1c86d8.0 | 121D10.0
37,,warp if objects removed,47.628,61.43,539,-3628,-7504,0x2a,wall of tile 078118 (room 0x2a),generic 0x1cba20 (preset 0x2758),0x1cba20,0x1cb420,2,078118.0 | 0x1cba20.0
38,,warp if objects removed,43.689,68.48,none found,-1710,636,0x16,wall of tile 120810 (room 0x16),generic 0x1c8558 (preset 0x2726),0x1c8558,0x1c85d8,2,0x1c8558.1 | 120810.0
39,,warp if objects removed,25.588,82.19,525,-3846,-7361,0x2a,generic 0x1cb5a0 (preset 0x00ae),generic 0x1cb720 (preset 0x00b5),0x1cb5a0 0x1cb720,0x1cb2a0 0x1cb820,2,0x1cb5a0.0 | 0x1cb720.1
40,,warp if objects removed,10.080,91.68,521,-4007,-7375,0x2a,monitor 0x1ca104 (preset 0x274c),generic 0x1cb720 (preset 0x00b5),0x1ca104 0x1cb720,0x1cb220 0x1cb8a0,9,0x1cb220.3 | 0x1cb720.0
41,,warp if objects removed,59.501,112.42,416,-4063,-966,0x33,generic 0x1c7f58 (preset 0x2728),generic 0x1c8058 (preset 0x272a),0x1c7f58 0x1c8058,0x1c7fd8,1,0x1c7f58.1 | 0x1c8058.3
42,,warp if objects removed,21.543,141.09,240,-3478,-7325,0x2a,wall of tile 078418 (room 0x2a),generic 0x1cbd60 (preset 0x2756),0x1cbd60,0x1cb9a0,4,078418.1 | 0x1cb9a0.2
43,,warp if objects removed,33.358,142.66,371,-770,768,0x12,wall of tile 00C708 (room 0x12),generic 0x1c48e8 (preset 0x005d),0x1c48e8,0x1c4d04,4,00C708.1 | 0x1c48e8.0
44,,warp if objects removed,7.519,279.45,429,-774,1312,0x12,wall of tile 00C908 (room 0x12),generic 0x1c4af4 (preset 0x005f),0x1c4af4,0x1c49f0,2,00C908.2 | 0x1c4af4.0
45,,no warp found,1.269,,,6112,708,0x0c,wall of tile 07A200 (room 0x0c),monitor 0x1c8d64 (preset 0x2711),0x1c8d64,,2,07A200.0 | 0x1c8d64.0
46,,no warp found,4.377,,,-4162,-6895,0x29,wall of tile 078618 (room 0x29),generic 0x1cbe60 (preset 0x00a3),0x1cbe60,,2,078618.1 | 0x1cbe60.0
47,,no warp found,8.901,,,-3955,-7505,0x2a,wall of tile 078218 (room 0x2a),generic 0x1cb8a0 (preset 0x00b3),0x1cb8a0,,9,078218.0 | 0x1cb8a0.0
48,,no warp found,12.293,,,-3554,-6726,0x29,generic 0x1cb620 (preset 0x00af),generic 0x1cb6a0 (preset 0x00b0),0x1cb620 0x1cb6a0,,2,0x1cb620.0 | 0x1cb6a0.3
49,,no warp found,15.204,,,-3619,-1137,0x33,wall of tile 06D118 (room 0x33),generic 0x1c5c6c (preset 0x0094),0x1c5c6c,,2,06D118.0 | 0x1c5c6c.1
50,,no warp found,17.746,,,-3453,-7435,0x2a,wall of tile 077A18 (room 0x2a),generic 0x1cb4a0 (preset 0x00ac),0x1cb4a0,,2,077A18.0 | 0x1cb4a0.2
51,,no warp found,21.711,,,6119,1137,0x0c,wall of tile 07A100 (room 0x0c),monitor 0x1c8fc8 (preset 0x2712),0x1c8fc8,,2,07A100.0 | 0x1c8fc8.4
52,,no warp found,22.329,,,-3525,-7523,0x2a,wall of tile 078118 (room 0x2a),generic 0x1cb4a0 (preset 0x00ac),0x1cb4a0,,2,078118.0 | 0x1cb4a0.0
53,,no warp found,25.729,,,-4162,-7227,0x2a,wall of tile 078518 (room 0x2a),generic 0x1cb520 (preset 0x00ad),0x1cb520,,2,078518.0 | 0x1cb520.0
54,,no warp found,31.483,,,-4100,-7481,0x2a,wall of tile 077F18 (room 0x2a),monitor 0x1ca104 (preset 0x274c),0x1ca104,,2,077F18.0 | 0x1ca104.1
55,,no warp found,59.500,,,-4034,-302,0x33,generic 0x1c81d8 (preset 0x272d),generic 0x1c82d8 (preset 0x272f),0x1c81d8 0x1c82d8,,4,0x1c81d8.3 | 0x1c82d8.1
56,,no warp found,59.500,,,-3974,-250,0x33,generic 0x1c8258 (preset 0x272e),generic 0x1c8358 (preset 0x2730),0x1c8258 0x1c8358,,2,0x1c8258.4 | 0x1c8358.1
