x,z,between,and
6155,1054,wall of tile 0EA200 (room 0x0c),monitor 0x1c8fc8 (preset 0x2712)
6155,1055,wall of tile 0EA200 (room 0x0c),monitor 0x1c8fc8 (preset 0x2712)
6155,783,wall of tile 0E9F00 (room 0x0c),monitor 0x1c8d64 (preset 0x2711)
6155,783,wall of tile 0E9F00 (room 0x0c),monitor 0x1c8d64 (preset 0x2711)
3557,1686,wall of tile 0EB900 (room 0x0d),monitor 0x1c922c (preset 0x2713)
3579,1728,wall of tile 0EB900 (room 0x0d),monitor 0x1c922c (preset 0x2713)
-1670,-2021,wall of tile 0B3818 (room 0x35),monitor 0x1c9ea0 (preset 0x2750)
-1753,-1938,wall of tile 0B3818 (room 0x35),monitor 0x1c9ea0 (preset 0x2750)
-3456,-6539,wall of tile 087A19 (room 0x28),glass 0x1ca4e8 (preset 0x2752)
-3456,-6539,wall of tile 087A19 (room 0x28),glass 0x1ca4e8 (preset 0x2752)
-2490,-5379,wall of tile 02EC18 (room 0x2b),glass 0x1cafd0 (preset 0x2765)
-2757,-5109,wall of tile 076818 (room 0x2b),glass 0x1cafd0 (preset 0x2765)
-4093,-966,generic 0x1c7fd8 (preset 0x2729),generic 0x1c8058 (preset 0x272a)
-4093,-861,generic 0x1c7fd8 (preset 0x2729),generic 0x1c8058 (preset 0x272a)
-4127,-302,generic 0x1c8158 (preset 0x272c),generic 0x1c81d8 (preset 0x272d)
-4127,-198,generic 0x1c8158 (preset 0x272c),generic 0x1c81d8 (preset 0x272d)
-4004,-302,generic 0x1c8258 (preset 0x272e),generic 0x1c82d8 (preset 0x272f)
-4004,-198,generic 0x1c8258 (preset 0x272e),generic 0x1c82d8 (preset 0x272f)
-3944,-302,generic 0x1c82d8 (preset 0x272f),generic 0x1c8358 (preset 0x2730)
-3944,-198,generic 0x1c82d8 (preset 0x272f),generic 0x1c8358 (preset 0x2730)
-1691,715,generic 0x1c84d8 (preset 0x2725),generic 0x1c8558 (preset 0x2726)
-1793,753,generic 0x1c84d8 (preset 0x2725),generic 0x1c8558 (preset 0x2726)
-1814,694,generic 0x1c8558 (preset 0x2726),generic 0x1c85d8 (preset 0x2727)
-1711,661,generic 0x1c8558 (preset 0x2726),generic 0x1c85d8 (preset 0x2727)
-1875,-246,generic 0x1c8758 (preset 0x2734),generic 0x1c87d8 (preset 0x2735)
-1875,-138,generic 0x1c8758 (preset 0x2734),generic 0x1c87d8 (preset 0x2735)
-3965,-7492,generic 0x1cb220 (preset 0x00a7),generic 0x1cb8a0 (preset 0x00b3)
-3981,-7425,generic 0x1cb220 (preset 0x00a7),generic 0x1cb8a0 (preset 0x00b3)
-3917,-7477,generic 0x1cb2a0 (preset 0x00a8),generic 0x1cb820 (preset 0x00b2)
-3876,-7449,generic 0x1cb2a0 (preset 0x00a8),generic 0x1cb320 (preset 0x00a9)
-3867,-7431,generic 0x1cb2a0 (preset 0x00a8),generic 0x1cb320 (preset 0x00a9)
-3876,-7420,generic 0x1cb2a0 (preset 0x00a8),generic 0x1cb820 (preset 0x00b2)
-3872,-7489,generic 0x1cb320 (preset 0x00a9),generic 0x1cb820 (preset 0x00b2)
-3809,-7495,generic 0x1cb320 (preset 0x00a9),generic 0x1cb920 (preset 0x00b4)
-3806,-7457,generic 0x1cb320 (preset 0x00a9),generic 0x1cb3a0 (preset 0x00aa)
-3807,-7449,generic 0x1cb320 (preset 0x00a9),generic 0x1cb3a0 (preset 0x00aa)
-3852,-7430,generic 0x1cb320 (preset 0x00a9),generic 0x1cb820 (preset 0x00b2)
-3824,-7427,generic 0x1cb320 (preset 0x00a9),generic 0x1cb920 (preset 0x00b4)
-3784,-7488,generic 0x1cb3a0 (preset 0x00aa),generic 0x1cb920 (preset 0x00b4)
-3757,-7499,generic 0x1cb3a0 (preset 0x00aa),generic 0x1cb7a0 (preset 0x00b1)
-3728,-7448,generic 0x1cb3a0 (preset 0x00aa),generic 0x1cb7a0 (preset 0x00b1)
-3780,-7430,generic 0x1cb3a0 (preset 0x00aa),generic 0x1cb920 (preset 0x00b4)
-3761,-7460,generic 0x1cb7a0 (preset 0x00b1),generic 0x1cb920 (preset 0x00b4)
-3755,-7450,generic 0x1cb7a0 (preset 0x00b1),generic 0x1cb920 (preset 0x00b4)
-3849,-7462,generic 0x1cb820 (preset 0x00b2),generic 0x1cb920 (preset 0x00b4)
-3850,-7459,generic 0x1cb820 (preset 0x00b2),generic 0x1cb920 (preset 0x00b4)
5454,-984,door 0x1cd380 (preset 0x006b),door 0x1cd480 (preset 0x006c)
5454,-977,door 0x1cd380 (preset 0x006b),door 0x1cd480 (preset 0x006c)
