object,type,reason
0x1ab190,generic,no collision outline in the data
0x1ab210,generic,no collision outline in the data
0x1ab290,generic,no collision outline in the data
0x1ab310,generic,no collision outline in the data
0x1ab390,generic,no collision outline in the data
0x1ab410,generic,no collision outline in the data
0x1ab490,generic,no collision outline in the data
0x1ab510,generic,no collision outline in the data
0x1ab590,generic,no collision outline in the data
0x1ab610,generic,no collision outline in the data
0x1ab690,generic,no collision outline in the data
0x1ab710,generic,no collision outline in the data
0x1ab790,generic,no collision outline in the data
0x1ab810,generic,no collision outline in the data
0x1ab890,generic,no collision outline in the data
0x1ab910,generic,no collision outline in the data
0x1ace10,generic,no collision outline in the data
0x1ace90,generic,no collision outline in the data
0x1acf10,generic,no collision outline in the data
0x1acf90,generic,no collision outline in the data
0x1ad010,generic,no collision outline in the data
0x1ad090,generic,no collision outline in the data
0x1ad110,generic,no collision outline in the data
0x1ad190,generic,no collision outline in the data
0x1ad210,generic,no collision outline in the data
0x1ad290,generic,no collision outline in the data
0x1ad310,generic,no collision outline in the data
0x1ad390,generic,no collision outline in the data
0x1ad410,generic,no collision outline in the data
0x1ad490,generic,no collision outline in the data
0x1ad510,generic,no collision outline in the data
0x1ad590,generic,no collision outline in the data
0x1ad610,generic,no collision outline in the data
0x1ad690,generic,no collision outline in the data
0x1ad710,generic,no collision outline in the data
0x1ad790,generic,no collision outline in the data
0x1ad810,generic,no collision outline in the data
0x1ad890,generic,no collision outline in the data
0x1ad910,generic,no collision outline in the data
0x1ad990,generic,no collision outline in the data
0x1ada10,generic,no collision outline in the data
0x1ada90,generic,no collision outline in the data
0x1adb10,generic,no collision outline in the data
0x1adb90,generic,no collision outline in the data
0x1af190,generic,no collision outline in the data
0x1af210,generic,no collision outline in the data
0x1af290,generic,no collision outline in the data
0x1af310,generic,no collision outline in the data
0x1af390,generic,no collision outline in the data
0x1af410,generic,no collision outline in the data
0x1af490,generic,no collision outline in the data
0x1af510,generic,no collision outline in the data
0x1af590,generic,no collision outline in the data
0x1af610,generic,no collision outline in the data
0x1af690,generic,no collision outline in the data
0x1af710,generic,no collision outline in the data
0x1af790,generic,no collision outline in the data
0x1af810,generic,no collision outline in the data
0x1af890,generic,no collision outline in the data
0x1afe90,generic,no collision outline in the data
0x1aff10,generic,no collision outline in the data
0x1aff90,generic,no collision outline in the data
0x1b0010,generic,no collision outline in the data
0x1b0090,generic,no collision outline in the data
0x1b0110,generic,no collision outline in the data
0x1b0190,generic,no collision outline in the data
0x1b0210,generic,no collision outline in the data
0x1b0290,generic,no collision outline in the data
0x1b0310,generic,no collision outline in the data
0x1b0390,generic,no collision outline in the data
0x1b0410,generic,no collision outline in the data
0x1b0490,generic,no collision outline in the data
0x1b0510,generic,no collision outline in the data
0x1b0590,generic,no collision outline in the data
0x1b0610,generic,no collision outline in the data
0x1b0690,generic,no collision outline in the data
0x1b0710,generic,no collision outline in the data
0x1b0790,generic,no collision outline in the data
0x1b0810,generic,no collision outline in the data
0x1b3958,drone,no collision outline in the data
0x1b3a40,drone,no collision outline in the data
0x1b3b28,drone,no collision outline in the data
0x1b3c10,drone,no collision outline in the data
0x1b3cf8,drone,no collision outline in the data
0x1b3de0,drone,no collision outline in the data
0x1b3ec8,drone,no collision outline in the data
0x1b4148,generic,no collision outline in the data
0x1b41d8,generic,no collision outline in the data
0x1b4268,generic,no collision outline in the data
0x1b4f78,generic,no collision outline in the data
0x1b5008,generic,no collision outline in the data
0x1b5098,generic,no collision outline in the data
0x1b5128,generic,no collision outline in the data
0x1b51b8,generic,no collision outline in the data
0x1b5248,generic,no collision outline in the data
0x1b52d8,generic,no collision outline in the data
0x1b5368,generic,no collision outline in the data
0x1b53f8,generic,no collision outline in the data
0x1b5488,generic,no collision outline in the data
